design_name,predicted_final_qor,true_final_qor,mape,true_qor_step_1,pred_qor_step_1,true_qor_step_2,pred_qor_step_2,true_qor_step_3,pred_qor_step_3,true_qor_step_4,pred_qor_step_4,true_qor_step_5,pred_qor_step_5,true_qor_step_6,pred_qor_step_6,true_qor_step_7,pred_qor_step_7,true_qor_step_8,pred_qor_step_8,true_qor_step_9,pred_qor_step_9,true_qor_step_10,pred_qor_step_10,true_qor_step_11,pred_qor_step_11,true_qor_step_12,pred_qor_step_12,true_qor_step_13,pred_qor_step_13,true_qor_step_14,pred_qor_step_14,true_qor_step_15,pred_qor_step_15,true_qor_step_16,pred_qor_step_16,true_qor_step_17,pred_qor_step_17,true_qor_step_18,pred_qor_step_18
aes_secworks_orig.bench,32.379707,33.0,1.879674755036831,38.0,35.959606,36.0,34.95017,36.0,35.243984,36.0,35.376156,36.0,34.817177,36.0,35.18812,36.0,34.582436,36.0,34.514404,36.0,34.395798,34.0,33.445545,34.0,33.967857,34.0,33.88727,34.0,34.03407,34.0,34.22908,38.0,39.47742,38.0,38.73913,45.0,44.06936,33.0,32.379707
aes_secworks_orig.bench,31.559715,34.0,7.177308201789856,38.0,37.159454,35.0,33.732563,35.0,34.4617,35.0,34.0002,35.0,33.211597,35.0,33.959114,35.0,33.372097,35.0,33.226387,35.0,33.51603,35.0,33.504498,35.0,33.123093,35.0,33.02397,35.0,33.113106,35.0,33.708717,35.0,33.924793,35.0,33.296158,43.0,42.517952,34.0,31.559715
tv80_orig.bench,48.158817,51.0,5.570946633815765,53.0,51.09906,53.0,51.34449,53.0,51.29644,53.0,51.367485,53.0,51.060272,53.0,50.97474,53.0,51.192665,53.0,51.147602,53.0,51.129395,53.0,51.062576,53.0,50.377167,53.0,50.553856,53.0,50.75334,53.0,50.55121,53.0,50.008423,53.0,49.485764,53.0,50.166336,51.0,48.158817
max_orig.bench,169.69943,174.0,2.4715906009078026,287.0,291.39456,234.0,229.53314,234.0,228.6775,234.0,228.92332,234.0,228.29272,234.0,228.5748,234.0,226.52011,202.0,197.46445,202.0,197.96883,202.0,196.94565,292.0,295.7767,202.0,197.35468,202.0,196.30663,202.0,195.08713,190.0,189.6698,190.0,188.51196,187.0,185.56818,174.0,169.69943
aes_secworks_orig.bench,30.864647,36.0,14.264869689941406,38.0,36.51134,36.0,35.21934,36.0,35.927414,36.0,34.55233,36.0,32.86138,36.0,32.81086,36.0,33.698807,36.0,32.99473,36.0,33.748,36.0,33.6545,36.0,33.159103,36.0,34.29886,36.0,33.485306,36.0,33.619587,36.0,34.427963,36.0,34.003498,44.0,43.677155,36.0,30.864647
aes_secworks_orig.bench,31.793957,33.0,3.654676675796509,41.0,37.77684,37.0,35.789825,37.0,35.580933,37.0,34.85565,37.0,34.31495,37.0,34.35391,36.0,33.87827,36.0,33.724293,36.0,34.057236,36.0,34.28385,36.0,34.02256,36.0,34.285065,36.0,33.457325,36.0,34.695835,41.0,40.545418,41.0,38.42995,46.0,45.141197,33.0,31.793957
aes_secworks_orig.bench,31.371407,35.0,10.367409884929657,38.0,37.065315,35.0,33.80431,35.0,34.769974,35.0,33.920296,35.0,34.039845,35.0,34.06977,35.0,34.769917,35.0,34.66944,35.0,33.61538,35.0,32.86667,35.0,33.75716,35.0,32.739746,35.0,33.072735,35.0,33.401867,35.0,33.482464,35.0,33.112305,44.0,42.091705,35.0,31.371407
tv80_orig.bench,48.16417,52.0,7.376597821712494,53.0,51.09906,53.0,51.34449,53.0,51.28908,53.0,51.153282,53.0,51.043007,53.0,50.72296,53.0,50.793705,53.0,50.67398,53.0,50.478943,53.0,50.63995,53.0,50.33113,53.0,50.472824,53.0,50.436012,53.0,50.478207,53.0,50.703613,53.0,50.851112,53.0,50.667007,52.0,48.16417
tv80_orig.bench,48.142456,49.0,1.7500896006822586,53.0,51.09906,53.0,51.344486,53.0,51.29644,52.0,51.075287,52.0,50.594513,52.0,50.40953,52.0,50.234566,52.0,50.60478,52.0,50.93156,52.0,50.235313,52.0,50.27337,52.0,50.301987,52.0,50.4891,52.0,50.515217,52.0,50.35074,52.0,50.18931,52.0,50.26113,49.0,48.142456
tv80_orig.bench,48.055416,49.0,1.9277222454547882,53.0,51.09906,53.0,51.34449,53.0,51.28908,52.0,51.121544,52.0,50.822403,52.0,50.622868,52.0,50.433212,52.0,50.73494,52.0,50.475056,52.0,50.615383,52.0,50.329227,52.0,50.49208,52.0,50.375656,52.0,50.431488,52.0,50.736694,52.0,50.71228,52.0,50.39764,49.0,48.055416
max_orig.bench,165.59444,171.0,3.1611479818820953,287.0,291.44705,234.0,231.0415,234.0,229.46509,234.0,229.37819,234.0,228.29227,234.0,230.09894,234.0,227.91367,202.0,197.95953,202.0,197.5487,202.0,196.82518,295.0,295.55435,199.0,195.00589,199.0,195.8186,199.0,194.09497,184.0,185.53775,184.0,185.06145,184.0,185.5097,171.0,165.59444
